latitude,longitude,name,desc,color,source,precision
41.775744,-111.821331,"2380 North 400 East, North Logan, UT, 84341","2380 N 400 E, Logan, UT 84341",,Bing Maps,address
41.167103,-111.970274,"5322 S. 400 E. Washington Terrace, Ogden, UT, 84405","5322 S 400 E, Washington Terrace, UT 84405",,Bing Maps,address
41.16424,-111.970329,"5475 S 500 East, Ogden, UT, 84405","5475 S 500 E, Ogden, UT 84405",,Bing Maps,address
40.690092,-111.865949,"3738 South 900 East, Salt Lake City, UT, 84106","3738 S 900 E, Salt Lake City, UT 84106",,Bing Maps,address
40.0603555,-111.727863,"1000 E Hwy 6, Payson, UT, 84651","US-6 E, Payson, UT 84651",,Bing Maps,street
40.540244,-111.892186,"11620 South State Street, Draper, UT, 84020","11620 S State St, Draper, UT 84020",,Bing Maps,address
40.885891,-111.86899,"630 E Medical Dr, Bountiful, UT, 84010","630 Medical Dr, Bountiful, UT 84010",,Bing Maps,address
35.541605,-82.530488,"12 Ardmore Street, Asheville, NC, 28803","12 Ardmore St, Asheville, NC 28803",,Bing Maps,address
35.576903,-82.54929,"509 Biltmore Ave, Ashville, NC, 28801","509 Biltmore Ave, Asheville, NC 28801",,Bing Maps,address
35.184773,-83.378854,"120 Riverview Street, Franklin, NC, 28734","120 Riverview St, Franklin, NC 28734",,Bing Maps,address
35.91093,-82.062629,"125 Hospital Drive, Spruce Pine, NC, 28777","125 Hospital Dr, Spruce Pine, NC 28777",,Bing Maps,address
35.581221,-82.550104,"428 Biltmore Ave, Asheville, NC, 28801","428 Biltmore Ave, Asheville, NC 28801",,Bing Maps,address
35.663601,-82.027839,"430 Rankin Drive, Marion, NC, 28752","430 Rankin Dr, Marion, NC 28752",,Bing Maps,address
35.2552598,-82.7125698,"26 Hospital Drive, Brevard, NC, 28712","26 Hospital Dr, Brevard, NC 28712",,Bing Maps,address
35.086468,-83.185897,"190 Hospital Drive, Highlands, NC, 28741","190 Hospital Dr, Highlands, NC 28741",,Bing Maps,address
35.560402,-82.532193,"260 Crestland Road, Ashville, NC, 28803","Crestland Rd, Asheville, NC 28803",,Bing Maps,street
30.533647,-86.495695,"2190 Hwy 85 North, Niceville, FL, 32578","2190 Highway 85 N, Niceville, FL 32578",,Bing Maps,address
30.182213,-82.687692,"3140 NW Medical Center Lane, Suite 100, Lake City, FL, 32055","3140 NW Medical Center Ln, Lake City, FL 32055",,Bing Maps,address
29.663018,-82.412624,"6605 NW 9th Blvd, Gainesville, FL, 32605","6605 NW 9th Blvd, Gainesville, FL 32605",,Bing Maps,address
28.367948,-81.285636,"6680 Lake Nona Blvd, Orlando, FL, 32827","6680 Lake Nona Blvd, Orlando, FL 32827",,Bing Maps,address
30.515772,-87.21814,"8383 Davis Hwy, Pensacola, FL, 32514","8383 Davis Hwy, Pensacola, FL 32514",,Bing Maps,address
28.144844,-81.47679,"325 Cypress Parkway, Kissimmee, FL, 34758","325 Cypress Pkwy, Kissimmee, FL 34759",,Bing Maps,address
29.6315306,-81.7178006,"Hwy 20 West, Palatka, FL, 32177","Highway 20, Palatka, FL 32177",,Bing Maps,street
30.183589,-82.687679,"340 NW Commerce Dr., Lake City, FL, 32055","340 NW Commerce Dr, Lake City, FL 32055",,Bing Maps,address
28.905071,-81.244871,"1555 Saxon Blvd, Deltona, FL, 33613","1555 Saxon Blvd, Deltona, FL 32725",,Bing Maps,address
30.187744,-85.665062,"449 W 23rd St, Panama City, FL, 32405","449 W 23rd St, Panama City, FL 32405",,Bing Maps,address
28.6582633,-81.2260268,"8350 Red Bug Lake Road, Oviedo, FL, 32765","8350 Red Bug Lake Rd, Oviedo, FL 32765",,Bing Maps,address
29.175336,-82.136256,"1431 SW 1st Ave, Ocala, FL, 34474","1431 SW 1st Ave, Ocala, FL 34471",,Bing Maps,address
28.299484,-81.409488,"700 West Oak St, Kissimmee, FL, 34741","700 W Oak St, Kissimmee, FL 34741",,Bing Maps,address
30.31005,-82.975317,"1500 Ohio Ave North, Live Oak, FL, 32060","1500 Ohio Ave, Live Oak, FL 32064",,Bing Maps,address
30.160313,-82.644538,"795 SW State Road 47, Lake City, FL, 32025","795 SW State Road 47, Lake City, FL 32025",,Bing Maps,address
30.4898565,-84.2413004,"2003 Centre Point Blvd, Tallahassee, FL, 32308","2003 N Point Blvd, Tallahassee, FL 32308",,Bing Maps,address
29.662374,-82.41032,"1021 NW 64th Terrace, Gainesville, FL, 32605","1021 NW 64th Terrace, Gainesville, FL 32605",,Bing Maps,address
29.660862,-82.411752,"6500 Newberry Rd, Gainesville, FL, 32605","6500 W Newberry Rd, Gainesville, FL 32605",,Bing Maps,address
30.475883,-84.23197,"2626 Capital Medical Blvd, Tallahassee, FL, 32308","2626 Capital Medical Blvd, Tallahassee, FL 32308",,Bing Maps,address
29.171298,-82.107057,"2300 SE 17th Street, Suite 800, Ocala, FL, 34471","2300 SE 17th St, Ocala, FL 34471",,Bing Maps,address
28.814184,-81.283314,"1401 W Seminole Blvd, Sanford, FL, 32771","1401 W Seminole Blvd, Sanford, FL 32771",,Bing Maps,address
30.487427,-84.247567,"1701 Hermitage Blvd, Ste 201, Tallahassee, FL, 32308","1701 Hermitage Blvd, Tallahassee, FL 32308",,Bing Maps,address
30.454679,-86.633513,"1000 Marwalt Dr, Fort Walton Beach, FL, 32547","1000 Mar Walt Dr, Fort Walton Beach, FL 32547",,Bing Maps,address
32.941031,-97.0038675,"1151 Enterprise Drive, Suite 200A, Coppell, TX, 75019","1151 Enterprise Dr, Coppell, TX 75019",,Bing Maps,address
33.177721,-97.091171,"3535 South I-35 East, Denton, TX, 76210","3535 S I 35 E, Denton, TX 76210",,Bing Maps,address
31.0216797,-97.4792976,"3537 S I-35E, Suite 111, Denton, TX, 76107","3537 S I 35, Belton, TX 76513",,Bing Maps,address
32.829221,-97.2135,"4401 Booth Calloway Rd, North Richland Hills, TX, 76180","4401 Booth Calloway Rd, North Richland Hills, TX 76180",,Bing Maps,address
33.1817322,-96.6142807,"4500 Medical Center Dr, McKinney, TX, 75069","75069, TX",,Bing Maps,postcode
33.04541,-97.004719,"500 W Main St, Lewisville, TX, 75057","500 W Main St, Lewisville, TX 75057",,Bing Maps,address
47.0104683,-92.5129339,"6800 N McArthur Blvd, Irving, TX, 75039","6800 N McArthur Rd, Canyon, MN 55717",,Bing Maps,address
32.912859,-96.771473,"7808 Clodus Fields Drive, Dallas, TX, 75251","7808 Clodus Fields Dr, Dallas, TX 75251",,Bing Maps,address
32.900196,-97.313272,"3101 North Tarrant County Parkway, Fort Worth, TX, 76177","3101 N Tarrant Pkwy, Fort Worth, TX 76177",,Bing Maps,address
32.692372,-97.112959,"3301 Matlock Rd, Arlington, TX, 76015","3301 Matlock Rd, Arlington, TX 76015",,Bing Maps,address
33.021192,-96.766339,"3901 W 15th St, Plano, TX, 75075","3901 W 15th St, Plano, TX 75075",,Bing Maps,address
32.911946,-96.773656,"7777 Forest Lane, Dallas, TX, 75230","7777 Forest Ln, Dallas, TX 75230",,Bing Maps,address
33.150778,-96.83873,"5500 Frisco Square Blvd, Frisco, TX, 75034","5500 Frisco Square Blvd, Frisco, TX 75034",,Bing Maps,address
31.314979,-92.449483,"211 Fourth St, Alexandria, LA, 71301","211 4th St, Alexandria, LA 71301",,Bing Maps,address
32.73594,-97.3452,"900 Eighth Ave, Ft. Worth, TX, 76104","900 8th Ave, Fort Worth, TX 76104",,Bing Maps,address
33.104717,-96.82397,"3201 Dallas Pkwy, Suite 900, Frisco, TX, 75034","3201 Dallas Pkwy, Frisco, TX 75034",,Bing Maps,address
32.912132,-96.766772,"11990 N Central Expy, Dallas, TX, 75243","11990 N Central Expy, Dallas, TX 75243",,Bing Maps,address
32.74819,-97.785637,"713 East Anderson Street, Weatherford, TX, 76086","713 E Anderson St, Weatherford, TX 76086",,Bing Maps,address
26.192627,-80.193136,"5361 NW 33rd Avenue, Ft. Lauderdale, FL, 33309","5361 NW 33rd Ave, Fort Lauderdale, FL 33309",,Bing Maps,address
39.728705,-104.827479,"750 Potomac Street, Suite 201, Aurora, CO, 80011","750 Potomac St, Aurora, CO 80011",,Bing Maps,address
29.513735,-98.572251,"8109 Fredericksburg Rd, San Antonio, TX, 78229","8109 Fredericksburg Rd, San Antonio, TX 78229",,Bing Maps,address
29.527113,-98.595171,"9150 Huebner Rd, San Antonio, TX, 78240","9150 Huebner Rd, San Antonio, TX 78240",,Bing Maps,address
29.513981,-98.576518,"8026 Floyd Curl Dr, San Antonio, TX, 78229","8026 Floyd Curl Dr, San Antonio, TX 78229",,Bing Maps,address
29.61597,-98.474959,"1139 E. Sonterra Blvd, San Antonio, TX, 78258","1139 E Sonterra Blvd, San Antonio, TX 78258",,Bing Maps,address
29.5653797,-98.5911474,"6700 IH 10 West, San Antonio, TX, 78201","IH 10 W, San Antonio, TX 78249",,Bing Maps,street
29.441183,-98.491099,"1310 McCullough, San Antonio, TX, 78212","1310 McCullough Ave, San Antonio, TX 78212",,Bing Maps,address
29.552535,-98.347977,"12412 Judson Rd, Live Oak, TX, 78233","12412 Judson Rd, Live Oak, TX 78233",,Bing Maps,address
29.510675,-98.572317,"4411 Medical Drive, #300, San Antonio, TX, 78229","4411 Medical Dr, San Antonio, TX 78229",,Bing Maps,address
28.9334977,-98.5267327,"1905 Texas 91, Jourdanton, TX, 78026","1905 Medical Dr, Jourdanton, TX 78026",,Bing Maps,address
29.507999,-98.572336,"7700 Floyd Curl Dr, San Antonio, TX, 78229","7700 Floyd Curl Dr, San Antonio, TX 78229",,Bing Maps,address
32.975944,-80.072934,"9330 Medical Plaza Dr, Charleston, SC, 39406","9330 Medical Plaza Dr, Charleston, SC 29406",,Bing Maps,address
30.271541,-81.615555,"4901 Richard St P.O. Box 10398, Jacksonville, FL, 32207","4901 Richard St, Jacksonville, FL 32207",,Bing Maps,address
32.030408,-81.088613,"4700 Waters Avenue, Savannah, GA, 31404","4700 Waters Ave, Savannah, GA 31404",,Bing Maps,address
32.2199745,-82.4142151,"One Meadows Parkway, Vidalia, GA, 30474","30474, GA",,Bing Maps,postcode
32.9755301,-80.0874467,"3445 Ingleside Blvd, Ladson, SC, 29456","Ingleside Blvd, Ladson, SC 29456",,Bing Maps,street
30.166155,-81.737845,"2001 Kingsley Ave, Orange Park, FL, 32073","2001 Kingsley Ave, Orange Park, FL 32073",,Bing Maps,address
31.2059788,-82.3318999,"1900 Tabeau Street, Waycross, GA, 31501","1900 Brunswick Hwy, Waycross, GA 31501",,Bing Maps,address
30.288622,-81.600919,"3625 University Blvd, Jacksonville, FL, 32216","3625 University Blvd S, Jacksonville, FL 32216",,Bing Maps,address
32.8639,-79.907431,"115 Central Island St Suite 400, Charleston, SC, 29492","115 Central Island St, Charleston, SC 29492",,Bing Maps,address
32.530757,-82.951441,"200 Industrial Blvd, Dublin, GA, 31021","200 Industrial Blvd, Dublin, GA 31021",,Bing Maps,address
33.758566,-78.819995,"809 82nd Pkwy, Myrtle Beach, SC, 29572","809 82nd Pkwy, Myrtle Beach, SC 29572",,Bing Maps,address
33.486579,-82.094957,"3651 Wheeler Rd, Augusta, GA, 30909","3651 Wheeler Rd, Augusta, GA 30909",,Bing Maps,address
32.922791,-80.669771,"501 Robertson Blvd, Walterboro, SC, 29488","501 Robertson Blvd, Walterboro, SC 29488",,Bing Maps,address
30.290216,-81.601079,"3599 University Blvd. South, Jacksonville, FL, 32216","3599 University Blvd S, Jacksonville, FL 32216",,Bing Maps,address
33.633679,-84.383068,"1500 Southpoint Drive, Suite 100, Forest Park, GA, 30297","1500 Southpoint Dr, Forest Park, GA 30297",,Bing Maps,address
39.6881372,-104.8723493,"4520 Florence Street, Denver, CO, 80247","Florence Ct, Denver, CO 80247",,Bing Maps,street
25.9731662,-80.2771905,"10094 Premier Parkway, Miramar, FL, 33025","10094 Premier Pkwy, Hollywood, FL 33025",,Bing Maps,address
41.0427585,-111.9612923,"1120 W. Sportsplexn Drive, Kaysville, UT, 84037","1120 W Sportsplex Dr, Kaysville, UT 84037",,Bing Maps,address
29.648278,-95.603226,"12610 W. Airport Blvd, Ste 180, Sugar Land, TX, 77478","12610 W Airport Blvd, Sugar Land, TX 77478",,Bing Maps,address
38.98697,-94.706911,"10405 W 79th Street, Shawnee, KS, 66214","10405 W 79th St, Overland Park, KS 66214",,Bing Maps,address
36.196551,-86.789664,"245B Great Circle Road, Nashville, TN, 37228","245 Great Circle Rd, Nashville, TN 37228",,Bing Maps,address
30.455101,-90.172528,"129 New Camellia Blvd, Covington, LA, 70433","129 New Camellia Blvd, Covington, LA 70433",,Bing Maps,address
30.3752067,-81.7941883,"85011 Westside Industrial Drive, Jacksonville, FL, 32219","8501-1 Westside Industrial Dr, Jacksonville, FL 32219",,Bing Maps,address
32.941031,-97.0038675,"1151 Enterprise Drive, Coppell, TX, 75019","1151 Enterprise Dr, Coppell, TX 75019",,Bing Maps,address
37.4931118,-77.5589873,"200 Wadsworth Drive, Richmond, VA, 23236","200 Wadsworth Dr, Richmond, VA 23236",,Bing Maps,address
29.60059,-98.368,"5919 W Campus Drive, Suite 120, San Antonio, TX, 78247","5919 W Campus Dr, San Antonio, TX 78247",,Bing Maps,address
27.890008,-82.759582,"12901 Starkey Road, Suite 1000, Largo, FL, 33773","12901 Starkey Rd, Largo, FL 33773",,Bing Maps,address
38.160087,-84.906832,"299 Kings Daughters Dr, Frankfort, KY, 40601","299 Kings Daughters Dr, Frankfort, KY 40601",,Bing Maps,address
36.036731,-86.807549,"110 Winners Circle, First Floor, Nashville, TN, 37203","110 Winners Circle, Brentwood, TN 37027",,Bing Maps,address
36.277144,-87.065705,"313 N Main St, Ashland City, TN, 37015","313 N Main St, Ashland City, TN 37015",,Bing Maps,address
36.153675,-86.810294,"2300 Patterson St, Nashville, TN, 37203","2300 Patterson St, Nashville, TN 37203",,Bing Maps,address
36.964856,-86.436764,"1801 Ashley Cir, Bowling Green, KY, 42104","1801 Ashley Cir, Bowling Green, KY 42104",,Bing Maps,address
36.325169,-86.622168,"355 New Shackle Island Rd, Hendersonville, TN, 37075","355 New Shackle Island Rd, Hendersonville, TN 37075",,Bing Maps,address
36.073409,-87.375655,"111 Hwy 70 East, Dickson, TN, 37055","111 Highway 70 E, Dickson, TN 37055",,Bing Maps,address
35.622584,-87.066458,"1001 North James Campbell Boulevard, Columbia, TN, 38401","1001 N James Campbell Blvd, Columbia, TN 38401",,Bing Maps,address
35.975008,-86.565544,"200 Stonecrest Blvd., Smyrna, TN, 37167","200 Stonecrest Blvd, Smyrna, TN 37167",,Bing Maps,address
36.176372,-86.608236,"5655 Frist Blvd, Hermitage, TN, 37076","5655 Frist Blvd, Hermitage, TN 37076",,Bing Maps,address
36.254778,-86.68248,"500 Hospital Drive, Madison, TN, 37116","500 Hospital Dr, Madison, TN 37115",,Bing Maps,address
36.076488,-86.721503,"391 Wallace Rd, Nashville, TN, 37211","391 Wallace Rd, Nashville, TN 37211",,Bing Maps,address
36.245377,-86.749583,"3441 Dickerson Pike, Nashville, TN, 37027","3441 Dickerson Pike, Nashville, TN 37207",,Bing Maps,address
34.276979,-85.19479,"501 Redmond Rd, Rome, GA, 30165","501 Redmond Rd NW, Rome, GA 30165",,Bing Maps,address
34.998725,-85.218981,"941 Spring Creek Rd, Chattanooga, TN, 37412","941 Spring Creek Rd, Chattanooga, TN 37412",,Bing Maps,address
35.034969,-85.267584,"2333 McCallie Avenue, Chattanooga, TN, 37404","2333 McCallie Ave, Chattanooga, TN 37404",,Bing Maps,address
35.047141,-85.629542,"1000 Highway 28, Jasper, TN, 37347","1000 Highway 28, Jasper, TN 37347",,Bing Maps,address
27.753019,-82.740045,"1501 Pasadena Ave, Petersburg, FL, 33707","1501 Pasadena Ave S, St Petersburg, FL 33707",,Bing Maps,address
28.361274,-82.688177,"14000 Fivay Rd, Hudson, FL, 34667","14000 Fivay Rd, Hudson, FL 34667",,Bing Maps,address
27.713668,-82.365272,"4016 State Rd 674, Sun City Center, FL, 33573","4016 State Road 674, Sun City Center, FL 33573",,Bing Maps,address
28.002046,-82.574053,"6001 Webb Road, Tampa, FL, 33615","6001 Webb Rd, Tampa, FL 33615",,Bing Maps,address
27.898323,-82.824722,"2025 Indian Rocks Road, Largo, FL, 33774","2025 Indian Rocks Rd, Largo, FL 33774",,Bing Maps,address
27.805372,-82.726449,"6500 38th Ave North, St. Petersburg, FL, 33710","6500 38th Ave N, St Petersburg, FL 33710",,Bing Maps,address
27.9286956,-82.313435,"560 South Lakewood Dr, Suite 210, Brandon, FL, 33511","560 S Lakewood Dr, Brandon, FL 33511",,Bing Maps,address
27.937961,-82.489419,"2901 Swann Ave, Tampa, FL, 33609","2901 Swann Ave, Tampa, FL 33609",,Bing Maps,address
27.914433,-82.803831,"201 14th St SW, Largo, FL, 33770","201 14th St SW, Largo, FL 33770",,Bing Maps,address
28.23509,-82.721226,"5637 Marine Parkway, New Port Richey, FL, 34656","5637 Marine Pkwy, New Port Richey, FL 34652",,Bing Maps,address
28.536175,-82.534133,"11375 Cortez Blvd, Brooksville, FL, 34613","11375 Cortez Blvd, Brooksville, FL 34613",,Bing Maps,address
27.825819,-82.702367,"6000 49th Street, North, St. Petersburg, FL, 33709","6000 49th St N, St Petersburg, FL 33709",,Bing Maps,address
27.932749,-82.287739,"119 Oakfield Dr, Brandon, FL, 33511","119 Oakfield Dr, Brandon, FL 33511",,Bing Maps,address
28.534284,-82.528303,"12037 Cortez Blvd, Brooksville, FL, 34613","12037 Cortez Blvd, Brooksville, FL 34613",,Bing Maps,address
27.48233,-82.623609,"2020 59th St West, Bradenton, FL, 34209","2020 59th St W, Bradenton, FL 34209",,Bing Maps,address
42.6417323,-83.6232842,"502 W Highland Blvd, Inverness, FL, 33763","502 W Highland Rd, Highland, MI 48357",,Bing Maps,address
27.970061,-82.568537,"3031 N. Rocky Point Drive West, Tampa, FL, 33607","3031 N Rocky Point Dr W, Tampa, FL 33607",,Bing Maps,address
26.950135,-82.326568,"700 Medical Blvd, Englewood, FL, 34223","700 Medical Blvd, Englewood, FL 34223",,Bing Maps,address
27.301948,-82.453038,"5731 Bee Ridge Rd, Sarasota, FL, 34233","5731 Bee Ridge Rd, Sarasota, FL 34233",,Bing Maps,address
26.988652,-82.098371,"21298 Olean Blvd NW, Port Charlotte, FL, 33949","21298 Olean Blvd, Port Charlotte, FL 33952",,Bing Maps,address